Time,ID,Number
Field,F0083,1
Two Weeks,F0083,2
Four Weeks,F0083,3
Six Weeks,F0083,4
Eight Weeks,F0083,5
Field,F0270,6
Field,F0272,7
Field,F0273,8
Field,F0274,9
Field,F0275,10
Field,F0276,11
Field,F0277,12
Field,F0278,13
Field,F0279,14
Field,F0281,15
Field,F0282,16
Field,F0284,17
Field,F0285,18
Two Weeks,F0270,19
Two Weeks,F0272,20
Two Weeks,F0273,21
Two Weeks,F0274,22
Two Weeks,F0275,23
Two Weeks,F0276,24
Two Weeks,F0277,25
Two Weeks,F0278,26
Two Weeks,F0279,27
Two Weeks,F0281,28
Two Weeks,F0282,29
Two Weeks,F0284,30
Two Weeks,F0285,31
Four Weeks,F0270,32
Four Weeks,F0272,33
Four Weeks,F0273,34
Four Weeks,F0274,35
Four Weeks,F0275,36
Four Weeks,F0276,37
Four Weeks,F0277,38
Four Weeks,F0278,39
Four Weeks,F0279,40
Four Weeks,F0281,41
Four Weeks,F0282,42
Four Weeks,F0284,43
Four Weeks,F0285,44
Six Weeks,F0270,45
Six Weeks,F0272,46
Six Weeks,F0273,47
Six Weeks,F0274,48
Six Weeks,F0275,49
Six Weeks,F0276,50
Six Weeks,F0277,51
Six Weeks,F0278,52
Six Weeks,F0279,53
Six Weeks,F0281,54
Six Weeks,F0282,55
Six Weeks,F0284,56
Six Weeks,F0285,57
Eight Weeks,F0270,58
Eight Weeks,F0272,59
Eight Weeks,F0273,60
Eight Weeks,F0274,61
Eight Weeks,F0275,62
Eight Weeks,F0276,63
Eight Weeks,F0277,64
Eight Weeks,F0278,65
Eight Weeks,F0279,66
Eight Weeks,F0281,67
Eight Weeks,F0282,68
Eight Weeks,F0284,69
Eight Weeks,F0285,70
