Time,ID
Field,F0072
Field,F0073
Field,F0074
Field,F0075
Field,F0076
Field,F0077
Field,F0078
Field,F0079
Field,F0080
Field,F0081
Field,F0082
Field,F0095
Field,F0096
Field,F0097
Field,F0098
Field,F0099
Field,F0101
Field,F0103
Field,F0106
Field,F0108
Field,F0109
Field,F0110
Field,F0115
Field,F0116
Field,F0117
Field,F0141
Field,F0142
Field,F0143
Field,F0144
Two Weeks,F0072
Two Weeks,F0073
Two Weeks,F0074
Two Weeks,F0075
Two Weeks,F0076
Two Weeks,F0077
Two Weeks,F0078
Two Weeks,F0079
Two Weeks,F0080
Two Weeks,F0081
Two Weeks,F0082
Two Weeks,F0095
Two Weeks,F0096
Two Weeks,F0097
Two Weeks,F0098
Two Weeks,F0099
Two Weeks,F0101
Two Weeks,F0103
Two Weeks,F0106
Two Weeks,F0108
Two Weeks,F0109
Two Weeks,F0110
Two Weeks,F0115
Two Weeks,F0116
Two Weeks,F0117
Two Weeks,F0141
Two Weeks,F0142
Two Weeks,F0143
Two Weeks,F0144
Four Weeks,F0072
Four Weeks,F0073
Four Weeks,F0074
Four Weeks,F0075
Four Weeks,F0076
Four Weeks,F0077
Four Weeks,F0078
Four Weeks,F0079
Four Weeks,F0080
Four Weeks,F0081
Four Weeks,F0082
Four Weeks,F0095
Four Weeks,F0096
Four Weeks,F0097
Four Weeks,F0098
Four Weeks,F0099
Four Weeks,F0101
Four Weeks,F0103
Four Weeks,F0106
Four Weeks,F0108
Four Weeks,F0109
Four Weeks,F0110
Four Weeks,F0115
Four Weeks,F0116
Four Weeks,F0117
Four Weeks,F0141
Four Weeks,F0142
Four Weeks,F0143
Four Weeks,F0144
Six Weeks,F0072
Six Weeks,F0073
Six Weeks,F0074
Six Weeks,F0075
Six Weeks,F0076
Six Weeks,F0077
Six Weeks,F0078
Six Weeks,F0079
Six Weeks,F0080
Six Weeks,F0081
Six Weeks,F0082
Six Weeks,F0095
Six Weeks,F0096
Six Weeks,F0097
Six Weeks,F0098
Six Weeks,F0099
Six Weeks,F0101
Six Weeks,F0103
Six Weeks,F0106
Six Weeks,F0108
Six Weeks,F0109
Six Weeks,F0110
Six Weeks,F0115
Six Weeks,F0116
Six Weeks,F0117
Six Weeks,F0141
Six Weeks,F0142
Six Weeks,F0143
Six Weeks,F0144
Eight Weeks,F0072
Eight Weeks,F0073
Eight Weeks,F0074
Eight Weeks,F0075
Eight Weeks,F0076
Eight Weeks,F0077
Eight Weeks,F0078
Eight Weeks,F0079
Eight Weeks,F0080
Eight Weeks,F0081
Eight Weeks,F0082
Eight Weeks,F0095
Eight Weeks,F0096
Eight Weeks,F0097
Eight Weeks,F0098
Eight Weeks,F0099
Eight Weeks,F0101
Eight Weeks,F0103
Eight Weeks,F0106
Eight Weeks,F0108
Eight Weeks,F0109
Eight Weeks,F0110
Eight Weeks,F0115
Eight Weeks,F0116
Eight Weeks,F0117
Eight Weeks,F0141
Eight Weeks,F0142
Eight Weeks,F0143
Eight Weeks,F0144
Field,F0291
Field,F0292
Field,F0293
Field,F0313
Field,F0314
Field,F0315
Field,F0316
Field,F0318
Field,F0320
Field,F0322
Field,F0323
Two Weeks,F0291
Two Weeks,F0292
Two Weeks,F0293
Two Weeks,F0313
Two Weeks,F0314
Two Weeks,F0315
Two Weeks,F0316
Two Weeks,F0318
Two Weeks,F0320
Two Weeks,F0322
Two Weeks,F0323
Four Weeks,F0291
Four Weeks,F0292
Four Weeks,F0293
Four Weeks,F0313
Four Weeks,F0314
Four Weeks,F0315
Four Weeks,F0316
Four Weeks,F0318
Four Weeks,F0320
Four Weeks,F0322
Four Weeks,F0323
Six Weeks,F0291
Six Weeks,F0292
Six Weeks,F0293
Six Weeks,F0313
Six Weeks,F0314
Six Weeks,F0315
Six Weeks,F0316
Six Weeks,F0318
Six Weeks,F0320
Six Weeks,F0322
Six Weeks,F0323
Eight Weeks,F0291
Eight Weeks,F0292
Eight Weeks,F0293
Eight Weeks,F0313
Eight Weeks,F0314
Eight Weeks,F0315
Eight Weeks,F0316
Eight Weeks,F0318
Eight Weeks,F0320
Eight Weeks,F0322
Eight Weeks,F0323
